Num,f_Num,Name,RA_hms,Dec_dms,RA,Dec,PosRef,z,f_z,F1400,F150,alpha,Lum,FR,Other
1,,J0012-0607,00:12:48.62,-06:07:03.1,3.202583333333333,-6.117527777777777,2MASX,0.2,d,66,,,,II,15
2,,J0017+0827,00:17:37.70,+08:27:52.9,4.407083333333333,8.464694444444444,EE,,,55,,,,I,
3,,J0020+0004,00:20:14.18,+00:04:48.0,5.059083333333333,0.08,EE,,,170,457.0,-0.44,,I,16
4,,J0023+0717,00:23:46.06,+07:17:55.5,5.941916666666667,7.29875,2MASX,0.25,d,74,,,,I,"1, 2, 10"
5,c,J0041-0925,00:41:49.95,-09:25:48.6,10.458125,-9.430166666666668,GALEX,,,35,,,,II,
6,,J0047+1034,00:47:11.24,+10:34:58.2,11.796833333333332,10.582833333333332,2MASS,,,24,,,,,
7,,J0054+0302,00:54:43.83,+03:02:10.5,13.682625,3.03625,SDSS,0.41,d,18,192.0,-1.06,1.58,,1
8,,J0056-0119,00:56:30.55,-01:19:19.9,14.127291666666665,-1.3221944444444444,EE,,,162,,,,,
9,ac,J0056-0120,00:56:02.70,-01:20:03.5,14.01125,-1.3343055555555554,CGCG,0.04,d,370,,,,II,"8, 11, 14, 16"
10,,J0111+1141,01:11:40.13,+11:41:34.1,17.91720833333333,11.692805555555555,EE,,,13,,,,II,
11,,J0140+0223,01:40:23.32,+02:23:56.7,25.097166666666663,2.399083333333333,EE,,,33,294.0,-0.98,,II,
12,,J0148+0000,01:48:07.84,+00:00:52.2,27.032666666666664,0.0145,EE,,,33,120.0,-0.58,,II,
13,,J0148+0142,01:48:17.75,+01:42:54.3,27.073958333333334,1.7150833333333333,EE,,,15,31.0,-0.32,,I,
14,,J0150-0818,01:50:43.47,-08:18:36.7,27.681125,-8.310194444444445,SDSS,,,55,,,,II,1
15,,J0212-0155,02:12:42.34,-01:55:47.7,33.17641666666667,-1.9299166666666665,EE,,,43,,,,I,
16,c,J0216-0245,02:16:19.98,-02:45:26.7,34.08324999999999,-2.757416666666667,EE,,,122,,,,I,1
17,,J0223+0640,02:23:27.58,+06:40:39.1,35.86491666666666,6.677527777777778,GALEX,,,81,,,,II,4
18,,J0231+0531,02:31:17.02,+05:31:09.7,37.82091666666666,5.519361111111111,2MASX,,,31,262.0,-0.95,,I,"1, 12"
19,,J0256-0542,02:56:20.02,-05:42:49.5,44.083416666666665,-5.71375,GALEX,,,38,,,,II,1
20,,J0317-0816,03:17:41.97,-08:16:39.8,49.42487499999999,-8.277722222222224,EE,,,73,,,,,
21,,J0323-0814,03:23:04.96,-08:14:16.6,50.77066666666666,-8.237944444444443,EE,,,16,,,,,
22,,J0334-0109,03:34:34.09,-01:09:52.3,53.64204166666666,-1.1645277777777776,2MASX,0.14,d,87,,,,II,"13, 16"
23,,J0335+0420,03:35:05.72,+04:20:17.1,53.77383333333333,4.338083333333333,EE,,,33,128.0,-0.61,,II,
24,,J0337+0421,03:37:50.21,+04:21:04.2,54.45920833333333,4.351166666666666,SDSS,0.51,*,30,115.0,-0.6,,I,1
25,,J0340-0111,03:40:31.47,-01:11:40.6,55.131125,-1.194611111111111,EE,,,6,,,,,1
26,,J0349-0648,03:49:28.97,-06:48:00.1,57.370708333333326,-6.800027777777777,EE,,,37,,,,I,13
27,,J0356+0013,03:56:50.87,+00:13:23.2,59.21195833333333,0.2231111111111111,EE,,,254,,,,II,
28,,J0703+5147,07:03:36.36,+51:47:17.1,105.90149999999998,51.78808333333333,EE,,,64,296.0,-0.68,,I,1
29,,J0709+4331,07:09:06.53,+43:31:35.4,107.27720833333332,43.5265,EE,,,14,66.0,-0.69,,II,1
30,,J0714+3634,07:14:49.33,+36:34:49.8,108.70554166666663,36.5805,EE,,,144,608.0,-0.64,,II,
31,,J0718+4820,07:18:25.52,+48:20:20.6,109.60633333333332,48.33905555555556,EE,,,95,,,,II,
32,,J0720+3617,07:20:11.94,+36:17:49.6,110.04975,36.29711111111111,SDSS,,,21,,,,I,
33,c,J0729+5949,07:29:30.39,+59:49:52.0,112.37662499999998,59.83111111111111,2MASS,,,54,,,,,
34,,J0731+3251,07:31:13.85,+32:51:15.1,112.80770833333332,32.854194444444445,EE,,,42,,,,I,1
35,,J0732+4208,07:32:01.32,+42:08:29.9,113.00549999999998,42.14163888888889,SDSS,0.29,d,16,33.0,-0.32,1.43,I,
36,,J0732+6150,07:32:19.53,+61:50:03.9,113.08137499999998,61.83441666666667,2MASX,,,102,324.0,-0.52,,II,
37,c,J0734+3611,07:34:41.42,+36:11:37.2,113.67258333333332,36.193666666666665,SDSS,,,62,80.0,-0.11,,II,
38,,J0738+3846,07:38:54.99,+38:46:23.4,114.72912499999998,38.77316666666667,EE,,,145,,,,II,17
39,c,J0738+4159,07:38:49.51,+41:59:07.5,114.70629166666664,41.985416666666666,2MASX,0.18,d,104,,,,II,"13, 20"
40,c,J0743+2710,07:43:06.29,+27:10:14.2,115.77620833333332,27.17061111111111,SDSS,,,111,,,,II,
41,,J0754+3951,07:54:42.69,+39:51:39.1,118.677875,39.86086111111111,2MASX,0.29,d,37,63.0,-0.24,4.16,II,1
42,c,J0756+6030,07:56:42.43,+60:30:40.2,119.17679166666666,60.51116666666667,EE,,,13,75.0,-0.78,,,6
43,,J0802+3904,08:02:22.95,+39:04:21.3,120.59562499999998,39.07258333333333,EE,,,30,,,,II,
44,,J0803+3951,08:03:44.68,+39:51:00.0,120.93616666666668,39.85,EE,,,20,104.0,-0.74,,I,1
45,,J0809+0934,08:09:26.10,+09:34:03.8,122.35875,9.567722222222224,2MASX,0.23,d,16,99.0,-0.82,0.35,I,"1, 13, 20"
46,,J0811+3810,08:11:18.94,+38:10:08.7,122.82891666666664,38.16908333333333,EE,,,90,327.0,-0.58,,,
47,a,J0819+2522,08:19:38.66,+25:22:22.8,124.91108333333332,25.373,EE,,,53,286.0,-0.75,,I,
48,c,J0819+5746,08:19:39.25,+57:46:06.6,124.91354166666665,57.7685,EE,,,32,,,,II,
49,,J0819+5804,08:19:11.01,+58:04:20.9,124.79587499999998,58.072472222222224,EE,,,23,,,,,
50,,J0820+1642,08:20:41.53,+16:42:30.2,125.17304166666666,16.708388888888887,EE,,,23,56.0,-0.4,,,
51,c,J0824+5200,08:24:44.68,+52:00:33.8,126.18616666666668,52.009388888888886,SDSS,0.3,d,54,,,,I,20
52,,J0826+1531,08:26:23.62,+15:31:26.6,126.59841666666664,15.524055555555556,EE,,,49,83.0,-0.24,,,
53,,J0827+0816,08:27:30.03,+08:16:26.1,126.87512499999995,8.273916666666668,EE,,,21,,,,I,
54,b,J0827+3820,08:27:12.91,+38:20:02.3,126.80379166666664,38.33397222222222,GALEX,,,152,,,,II,
55,ac,J0828+2436,08:28:39.63,+24:36:55.8,127.16512499999996,24.6155,EE,,,122,,,,II,
56,c,J0829+6322,08:29:10.55,+63:22:28.5,127.29395833333332,63.37458333333333,2MASX,,,36,,,,I,"1, 15"
57,,J0830+2155,08:30:50.27,+21:55:57.8,127.7094583333333,21.932722222222225,EE,,,17,,,,I,
58,,J0834+3945,08:34:30.09,+39:45:09.5,128.625375,39.75263888888889,EE,,,102,513.0,-0.72,,I,2
59,,J0844+2538,08:44:47.54,+25:38:23.7,131.19808333333333,25.639916666666664,EE,,,11,54.0,-0.71,,,
60,,J0846+2024,08:46:47.94,+20:24:48.9,131.69975,20.41358333333333,EE,,,48,,,,,
61,c,J0850+1349,08:50:53.72,+13:49:00.3,132.72383333333332,13.81675,EE,,,137,,,,II,
62,,J0851+1615,08:51:10.34,+16:15:30.6,132.79308333333333,16.2585,SDSS,0.66,d,27,,,,I,
63,c,J0857+1704,08:57:57.06,+17:04:47.3,134.48774999999998,17.079805555555556,2MASX,0.33,d,63,,,,,"2, 20"
64,,J0858+1620,08:58:39.90,+16:20:08.8,134.66625,16.335777777777775,EE,,,30,64.0,-0.34,,II,"1, 20"
65,c,J0901+0259,09:01:25.81,+02:59:28.8,135.35754166666666,2.9913333333333334,2MASS,0.19,d,281,,,,II,13
66,ab,J0902+3505,09:02:30.30,+35:05:11.0,135.62625,35.08638888888889,SDSS,,,15,,,,,1
